單字編號,漢字,假名拼音(分別),假名拼音,重音,詞性,中文意思,常用例句 1日,常用例句 1中,常用例句 2日,常用例句 2中,常用例句 1題目,常用例句 1答案,常用例句 2題目,常用例句 2答案
1218,吠える,ほ.える,ほえる,[2],自動二,吠叫 / 吼叫,犬が知らない人に向かって激しく（ ）。 / 狗朝著陌生人猛烈地吠叫。,動物園でライオンが大きく（ ）た。 / 動物園裡的獅子大聲地吼叫了。,題目：犬が知らない人に向かって激しく（ ）。 答案：吠える,,,,,
1219,ボーイ,ボーイ,ボーイ,[1],名詞,男孩 / 服務生,ホテルの（ ）に荷物を運んでもらう。 / 請飯店的服務生幫忙搬運行李。,彼は元気で明るい（ ）だ。 / 他是個充滿活力又開朗的男孩。,題目：ホテルの（ ）に荷物を運んでもらう。 答案：ボーイ,,,,,
1220,ホームステイ,ホームステイ,ホームステイ,[4],名詞/自動三,寄宿家庭 / 遊學寄宿,夏休みにアメリカで（ ）を経験した。 / 暑假在美國體驗了寄宿家庭。,（ ）先の家族に日本のお土産を渡す。 / 將日本的伴手禮交給寄宿家庭的家人。,題目：夏休みにアメリカで（ ）を経験した。 答案：ホームステイ,,,,,
1221,外,ほか,ほか,[0],名詞,其他 / 之外,這件問題（ ）に何か質問はありますか。 / 除了這道問題之外，還有其他疑問嗎？,わたしには（ ）に選択肢がなかった。 / 我除此之外別無選擇。,題目：この問題（ ）に何か質問はありますか。 答案：外,,,,,
1222,埃,ほこり,ほこり,[0],名詞,灰塵,机の上にたまっている（ ）をきれいに拭き取る。 / 把積在桌上的灰塵乾淨地擦拭掉。,部屋を掃除して（ ）を払う。 / 打掃房間拍除灰塵。,題目：机の上にたまっている（ ）をきれいに拭き取る。 答案：埃,,,,,
1223,保証,ほ.しょう,ほしょう,[0],名詞/他動三,保證 / 擔保,この商品は購入から一年の品質（ ）がついている。 / 這件商品附有自購買起一年的品質保證。,彼の安全は私が責任を持って（ ）します。 / 他的安全由我負起責任來保證。,題目：この商品は購入から一年の品質（ ）がついている。 答案：保証,,,,,
1224,ホストファミリー,ホストファミリー,ホストファミリー,[4],名詞,寄宿家庭接待家庭,留学中の（ ）はとても親切だった。 / 留學期間的接待家庭非常親切。,週末は（ ）と一緒に買い物に行った。 / 週末和接待家庭一起去買了東西。,題目：留学中の（ ）はとても親切だった。 答案：ホストファミリー,,,,,
1225,保存,ほ.ぞん,ほぞん,[0],名詞/他動三,保存 / 儲存,作った料理を冷蔵庫で（ ）する。 / 把做好的料理保存在冰箱裡。,パソコンの重要なデータを外付けハードディスクに（ ）した。 / 把電腦的重要資料儲存到外接硬碟裡了。,題目：作った料理を冷蔵庫で（ ）する。 答案：保存,,,,,
1226,程,ほど,ほど,[0],名詞/程度副詞,程度 / 大約 / 越…,泣きたい（ ）嬉しい気持ちだ。 / 令人高興到想哭的程度的心情。,早ければ早い（ ）助かります。 / 越早越能幫上大忙。,題目：泣きたい（ ）嬉しい気持ちだ。 答案：程,,,,,
1227,歩道,ほ.どう,ほどう,[0],名詞,人行道,歩行者は安全のために（ ）を歩くべきだ。 / 行人為了安全應該走人行道。,自転車が（ ）を猛スピードで走るのは危険だ。 / 腳踏車在人行道上高速行駛是很危險的。,題目：歩行者は安全のために（ ）を歩くべきだ。 答案：歩道,,,,,
1228,骨,ほね,ほね,[2],名詞,骨頭 / 骨架,転んで腕の（ ）を折ってしまった。 / 跌倒結果把手臂的骨頭折斷了。,魚の（ ）を丁寧に取ってから食べる。 / 仔細把魚骨頭剔除後再吃。,題目：転んで腕の（ ）を折ってしまった。 答案：骨,,,,,
1229,頬,ほお,ほお,[1],名詞,臉頰,恥ずかしくて（ ）が赤くなる。 / 因為害羞而臉頰變紅。,冷たい風が（ ）に当たって痛い。 / 冷風吹拂在臉頰上覺得刺痛。,題目：恥ずかしくて（ ）が赤くなる。 答案：頬,,,,,
1230,本日,ほん.じつ,ほんじつ,[1],名詞,本日 / 今天（正式）,（ ）はご来店いただき、誠にありがとうございます。 / 本日承蒙您蒞臨本店，由衷感謝。,（ ）の営業は午後8時で終了いたします。 / 本日的營業將於下午8點結束。,題目：（ ）はご来店いただき、誠にありがとうございます。 答案：本日,,,,,
1231,本人,ほん.にん,ほんにん,[1],名詞,本人,手続きには（ ）の確認書類が必要です。 / 辦理手續需要本人的確認證件。,それは（ ）に直接聞いてみないと分からない。 / 那件事不直接問他本人的話是不知道的。,題目：手続きには（ ）の確認書類が必要です。 答案：本人,,,,,
1232,本物,ほん.もの,ほんもの,[0],名詞,真品 / 真正的事物,この絵は偽物ではなく（ ）だ。 / 這幅畫不是假貨，而是真品。,彼が作った料理は（ ）のシェフの味だ。 / 他做的料理有真正主廚的味道。,題目：この絵は偽物ではなく（ ）だ。 答案：本物,,,,,
1233,ぼんやり,ぼんやり,ぼんやり,[3],擬聲副詞/自動三,發呆 / 模糊不清 / 恍惚,窓の外を（ ）と眺めて時間を過ごす。 / 呆呆地眺望窗外度過時間。,霧が深くて遠くの山が（ ）しか見えない。 / 霧很濃，遠方的山只能看得模糊不清。,題目：窓の外を（ ）と眺めて時間を過ごす。 答案：ぼんやり,,,,,
1234,マイク,マイク,マイク,[1],名詞,麥克風,カラオケで（ ）を持って歌を歌う。 / 在卡拉OK拿著麥克風唱歌。,会場が広いので（ ）を使って話す。 / 因為會場很寬廣，所以用麥克風說話。,題目：カラオケで（ ）を持って歌を歌う。 答案：マイク,,,,,
1235,迷子,まい.ご,まいご,[1],名詞,迷路的孩子 / 走失,デパートの中で子どもが（ ）になった。 / 孩子在百貨公司裡走失了。,（ ）の犬を探すポスターを貼る。 / 貼出尋找走失狗狗的海報。,題目：デパートの中で子どもが（ ）になった。 答案：迷子,,,,,
1236,任せる,まか.せる,まかせる,[3],他動二,委託 / 交給,難しい仕事を信頼できる彼に（ ）。 / 把困難的工作託付給值得信賴的他。,今日の料理の注文は君に（ ）よ。 / 今天的點餐就全交給你決定囉！,題目：難しい仕事を信頼できる彼に（ ）。 答案：任せる,,,,,
1237,負け,ま.け,まけ,[0],名詞,輸 / 失敗,試合での（ ）を認めて次に活かす。 / 承認比賽中的失敗並將其運用在下次。,勝負は勝ち（ ）だけが全てではない。 / 勝負並非只有輸贏是全部。,題目：試合での（ ）を認めて次に活かす。 答案：負け,,,,,
1238,孫,まご,まご,[2],名詞,孫子 / 孫女,祖父は可愛い（ ）のためにおもちゃを買った。 / 祖父為了可愛的孫子買了玩具。,夏休みに（ ）たちが田舎へ遊びに来る。 / 暑假時孫子們會來鄉下玩。,題目：祖父は可愛い（ ）のためにおもちゃを買った。 答案：孫,,,,,
1239,貧しい,まず.しい,まずしい,[3],い形,貧窮的 / 匱乏的,彼らは（ ）生活の中から幸せを見つけた。 / 他們在貧窮的生活中找到了幸福。,経験が（ ）ために失敗してしまった。 / 因為經驗匱乏而不小心失敗了。,題目：彼らは（ ）生活の中から幸せを見つけた。 答案：貧しい,,,,,
1240,間違い,ま.ちが.い,まちがい,[3],名詞,錯誤 / 過失,計算に（ ）がないかもう一度確認する。 / 再次確認計算中是否有錯誤。,誰にでも一つや二つの（ ）はあるものだ。 / 無論是誰都會有一兩個過失的。,題目：計算に（ ）がないかもう一度確認する。 答案：間違い,,,,,
1241,真っ赤,まっ.か,まっか,[3],な形/名詞,通紅 / 鮮紅,彼女は恥ずかしさで顔が（ ）になった。 / 她因害羞而臉變得通紅。,秋になると山の紅葉が（ ）に染まる。 / 到了秋天，山上的楓葉染成一片鮮紅。,題目：彼女は恥ずかしさで顔が（ ）になった。 答案：真っ赤,,,,,
1242,全く,まっ.たく,まったく,[0],程度副詞/陳述副詞,完全（接否定） / 實在是,彼の言うことは（ ）理解できない。 / 他說的話我完全無法理解。,（ ）その通りだと思います。 / 我覺得實在是完全正確（如您所言）。,題目：彼の言うことは（ ）理解できない。 答案：全く,,,,,
1243,窓口,まど.ぐち,まどぐち,[2],名詞,窗口 / 聯絡處,駅の切符売りの（ ）で定期券を買う。 / 在車站售票窗口購買定期票。,問い合わせの（ ）に電話をかける。 / 打電話給諮詢的聯絡窗口。,題目：駅の切符売りの（ ）で定期券を買う。 答案：窓口,,,,,
1244,学ぶ,まな.ぶ,まなぶ,[0],他動一,學習 / 探求,大学で日本の歴史について深く（ ）。 / 在大學深度學習關於日本的歷史。,失敗から多くのことを（ ）ことができる。 / 可以從失敗中學到非常多的事物。,題目：大学で日本の歴史について深く（ ）。 答案：学ぶ,,,,,
1245,真似,ま.ね,まね,[0],名詞/他動三,模仿 / 仿效,子どもは親の（ ）をして言葉を覚える。 / 孩子透過模仿父母來記憶詞彙。,人の（ ）ばかりせずに自分の頭で考えなさい。 / 別光是模仿別人，用自己的腦袋思考吧。,題目：子どもは親の（ ）をして言葉を覚える。 答案：真似,,,,,
1246,招く,まね.く,まねく,[2],他動一,招待 / 招致 / 引起,友人を家に（ ）いてパーティーを開く。 / 招待朋友到家裡舉辦派對。,不注意が大きな事故を（ ）くことがある。 / 粗心大意有時會招致嚴重的事故。,題目：友人を家に（ ）いてパーティーを開く。 答案：招く,,,,,
1247,ママ,マ口,ママ,[1],名詞,媽媽 / 母親,子どもが「（ ）、大好き！」と抱きついてきた。 / 孩子喊著「媽媽，我最喜歡妳了！」並抱了過來。,今日は（ ）と一緒にお買い物に行く。 / 今天和媽媽一起去買東西。,題目：子どもが「（ ）、大好き！」と抱きついてきた。 答案：ママ,,,,,
1248,豆,まめ,まめ,[2],名詞,豆子 / 顆粒,コーヒーの（ ）を挽いて良い香りが漂う。 / 研磨咖啡豆，飄散出極佳的香氣。,節分に鬼に向かって（ ）を撒く。 / 在節分之日朝著鬼撒豆子。,題目：コーヒーの（ ）を挽いて良い香りが漂う。 答案：豆,,,,,
1249,守る,まも.る,まもる,[2],他動一,遵守 / 保護,交通規則を正しく（ ）って運転する。 / 正確遵守交通規則進行駕駛。,大切な家族を危険から（ ）。 / 保護珍貴的家人免受危險。,題目：交通規則を正しく（ ）って運転する。 答案：守る,,,,,
1250,丸,まる,まる,[0],名詞,圓 / 圓圈,正しい答えの番号に（ ）をつけなさい。 / 請在正確答案的號碼上畫圓圈。,紙に大きな（ ）を描く。 / 在紙上畫一個大圓圈。,題目：正しい答えの番号に（ ）をつけなさい。 答案：丸,,,,,
1251,丸い,まる.い,まるい,[0],い形,圓的 / 圓形,月が空に（ ）く浮かんでいる。 / 月亮圓圓地浮在夜空中。,（ ）テーブルの周りにみんなで座る。 / 大家一起坐在圓桌的周圍。,題目：月が空に（ ）く浮かんでいる。 答案：丸い,,,,,
1252,まるで,まるで,まるで,[0],程度副詞,簡直就像 / 宛如,今日は暖かくて、（ ）春が来たようだ。 / 今天很溫暖，簡直就像春天來了。,彼はその事件を（ ）見ていたかのように語る。 / 他說得簡直就像親眼看過那起事件一樣。,題目：今日は暖かくて、（ ）春が来たようだ。 答案：まるで,,,,,
1253,回す,まわ.す,まわす,[0],他動一,轉動 / 傳閱 / 開動,ドアのノブを右に（ ）と開く。 / 把門把向右轉動就會打開。,暑いのでエアコンを（ ）てください。 / 因為很熱，請把冷氣開動運轉。,題目：ドアのノブを右に（ ）と開く。 答案：回す,,,,,
1254,万一,まん.いち,まんいち,[1],名詞/時間副詞,萬一,（ ）の事故に備えて保険に入る。 / 為防備萬一發生的事故而投保。,（ ）彼が来なくても、予定通り出発します。 / 萬一他不來，我們依然照原定計劃出發。,題目：（ ）の事故に備えて保険に入る。 答案：万一,,,,,
1255,満足,まん.ぞく,まんぞく,[1],名詞/な形/自動三/他動三,滿意 / 滿足,今日の料理の味にとても（ ）している。 / 對今天料理的味道感到極為滿意。,お客様に（ ）いただけるサービスを提供する。 / 提供能讓顧客滿意的服務。,題目：今日の料理の味にとても（ ）している。 答案：満足,,,,,
1256,実,み,み,[0],名詞,果實 / 內容,秋になって木にたくさんの（ ）がなった。 / 到了秋天，樹上結了極多的果實。,努力が（ ）を結んで合格できた。 / 努力結出了果實（有了回報），順利及格了。,題目：秋になって木にたくさんの（ ）がなった。 答案：実,,,,,
1257,見送り,み.おく.り,みおくり,[0],名詞,送行 / 送別 / 暫緩,空港まで友だちの（ ）に行く。 / 去機場為朋友送行。,今回の計画は残えながら（ ）となった。 / 這次的計畫很遺憾地被暫緩執行了。,題目：空港まで友だちの（ ）に行く。 答案：見送り,,,,,
1258,見送る,み.おく.る,みおくる,[0],他動一,送行 / 目送 / 暫緩,駅のホームで出発する両親を（ ）。 / 在車站月台目送出發的雙親。,雨が激しいので今日の外出は（ ）。 / 因為雨下得很猛烈，今天暫緩外出。,題目：駅のホームで出発する両親を（ ）。 答案：見送る,,,,,
1259,味方,み.かた,みかた,[0],名詞/他動三,夥伴 / 支持者 / 站在…這邊,何があっても私はいつもあなたの（ ）です。 / 無論發生什麼事，我都永遠是你的支持者。,強い選手を（ ）につける。 / 讓強悍的選手加入自己的陣營（成為夥伴）。,題目：何があっても私はいつもあなたの（ ）です。 答案：味方,,,,,
1260,見事,み.ごと,みごと,[1],な形/名詞,精彩 / 巧妙 / 漂亮,彼のピアノ演奏は本当に（ ）だった。 / 他的鋼琴演奏真的是精彩絕倫。,難関の試験に（ ）に合格した。 / 漂亮地通過了難關重重的考試。,題目：彼のピアノ演奏は本当に（ ）だった。 答案：見事,,,,,
1261,ミス,ミス,ミス,[1],名詞/自動三,失誤 / 錯誤,注意不足で仕事で大きな（ ）をしてしまった。 / 因為注意力不足而在工作上犯了嚴重的失誤。,計算（ ）がないように確認する。 / 確認好不要出現計算錯誤。,題目：注意不足で仕事で大きな（ ）をしてしまった。 答案：ミス,,,,,
1262,認める,みと.める,みとめる,[0],他動二,承認 / 認可 / 賞識,自分の間違いを素直に（ ）て謝る。 / 坦率地承認自己的錯誤並道歉。,上司に自分の実力を（ ）てもらいたい。 / 希望上司能認可自己的實力。,題目：自分の間違いを素直に（ ）て謝る。 答案：認める,,,,,
1263,未来,み.らい,みらい,[1],名詞,未來,子どもたちの明るい（ ）のために努力する。 / 為了孩子們明亮的未來而努力。,（ ）の世界がどうなっているか想像する。 / 想像未來的世界會變得如何。,題目：子どもたちの明るい（ ）のために努力する。 答案：未来,,,,,
1264,魅了,み.りょう,みりょう,[0],名詞/他動三,著迷 / 吸引 / 傾倒,彼の素晴らしい歌声は多くの観客を（ ）した。 / 他極為美妙的歌聲讓眾多觀眾為之傾倒。,美しい夜景に心から（ ）される。 / 衷心地對美麗的夜景感到著迷。,題目：彼の素晴らしい歌声は多くの観客を（ ）した。 答案：魅了,,,,,
1265,ミルク,ミルク,ミルク,[1],名詞,牛奶 / 奶粉,毎朝、温かい（ ）を一杯飲む。 / 每天早上喝一杯溫牛奶。,コーヒーに（ ）と砂糖を入れる。 / 在咖啡裡加入牛奶和砂糖。,題目：毎朝、温かい（ ）を一杯飲む。 答案：ミルク,,,,,
1266,向かい,むか.い,むかい,[0],名詞,對面,私の家の（ ）に新しいコンビニができた。 / 我家的對面新開了一家便利商店。,（ ）の席に座っている人と挨拶を交わす。 / 和坐在對面座位的人互相打招呼。,題目：私の家の（ ）に新しいコンビニができた。 答案：向かい,,,,,
1267,迎え,むか.え,むかえ,[0],名詞,迎接 / 接送,空港まで友だちを（ ）に行く。 / 去機場迎接朋友。,雨が降ってきたので母に車の（ ）を頼んだ。 / 因為下雨了，所以拜託媽媽開車來接送。,題目：空港まで友だちを（ ）に行く。 答案：迎え,,,,,
1268,向く,む.く,むく,[0],自動一/他動一,向著 / 適合 / 轉向,写真を撮るのでこちらを（ ）いてください。 / 因為要拍照，請往這邊看（轉向這邊）。,この仕事は細かい作業が多いので彼に（ ）いている。 / 這份工作細微的作業很多，非常適合他。,題目：写真を撮るのでこちらを（ ）いてください。 答案：向く,,,,,
1269,無視,む.し,むし,[1],名詞/他動三,無視 / 忽視 / 不理睬,信号（ ）は大変危険ですのでやめてください。 / 無視號誌（闖紅燈）非常危險，請停止。,彼は私の挨拶を（ ）して通り過ぎた。 / 他忽視了我的招呼逕自走了過去。,題目：信号（ ）は大変危険ですのでやめてください。 答案：無視,,,,,
1270,虫歯,むし.ば,むしば,[0],名詞,蛀牙 / 齲齒,歯が痛いと思ったら、（ ）ができていた。 / 覺得牙齒痛，結果發現是長了蛀牙。,甘いものを食べ過ぎると（ ）になりやすい。 / 吃太多甜食容易容易得到蛀牙。,題目：歯が痛いと思ったら、（ ）ができていた。 答案：虫歯,,,,,
1271,結ぶ,むす.ぶ,むすぶ,[0],他動一,繫 / 結 / 結合 / 連結,靴の紐をしっかりと強く（ ）。 / 把鞋帶緊緊地繫牢。,会社と新しい契約を（ ）。 / 與公司締結新的契約。,題目：靴の紐をしっかりと強く（ ）。 答案：結ぶ,,,,,
1272,無駄,む.だ,むだ,[0],な形/名詞,浪費 / 白費 / 徒勞,使っていない部屋の電気を消して（ ）をなくす。 / 關掉沒人在使用的房間電燈以消除浪費。,彼の努力は決して（ ）にはならなかった。 / 他的努力絕對沒有變成徒勞（白費）。,題目：使っていない部屋の電気を消して（ ）をなくす。 答案：無駄,,,,,
1273,夢中,む.ちゅう,むちゅう,[0],名詞/な形,著迷 / 熱心於 / 沉迷,彼は時間を忘れるほどゲームに（ ）になっている。 / 他沉迷於遊戲，甚至到了忘記時間的地步。,子どもたちは（ ）でボールを追いかけた。 / 孩子們極為投入地追逐著球。,題目：彼は時間を忘れるほどゲームに（ ）になっている。 答案：夢中,,,,,
1274,胸,むね,むね,[2],名詞,胸口 / 心情 / 內心,緊張で（ ）がドキドキと高鳴る。 / 因為緊張，胸口撲通撲通地劇烈跳動。,感動的な映画を見て（ ）が熱くなった。 / 看了感人的電影，內心變得一陣發熱。,題目：緊張で（ ）がドキドキと高鳴る。 答案：胸,,,,,
1275,無料,む.りょう,むりょう,[0],名詞,免費,このアプリは誰でも（ ）でダウンロードできます。 / 這款應用程式無論是誰都能免費下載。,（ ）の駐車場を利用して買い物をする。 / 使用免費的停車場進行購物。,題目：このアプリは誰でも（ ）でダウンロードできます。 答案：無料,,,,,
1276,芽,め,め,[1],名詞,嫩芽 / 苗頭 / 萌芽,春になって木の枝から緑色の（ ）が出た。 / 到了春天，樹枝上冒出了綠色的嫩芽。,新しい技術に将来の発展の（ ）を感じる。 / 在新的技術上感受到了未來發展的苗頭。,題目：春になって木の枝から緑色の（ ）が出た。 答案：芽,,,,,
1277,姪,めい,めい,[1],名詞,姪女 / 外甥女,私の兄の娘、つまり私の（ ）が今年小学校に入学した。 / 我哥哥的女兒，也就是我的姪女今年上小學了。,可愛らしい（ ）にお年玉をあげる。 / 給可愛的姪女壓歲錢。,題目：私の兄の娘、つまり私の（ ）が今年小学校に入学した。 答案：姪,,,,,
1278,明確,めい.かく,めいかく,[0],な形/名詞,明確 / 清楚,今後の計画について（ ）な指示を出す。 / 關於今後的計畫給出明確的指示。,自分の目標を（ ）にする。 / 讓自己的目標變得明確清晰。,題目：今後の計画について（ ）な指示を出す。 答案：明確,,,,,
1279,命じる,めい.じる,めいじる,[3],他動二,命令 / 指派,将軍は兵士たちに出発を（ ）た。 / 將軍命令士兵們出發。,彼は新しい東京支店長に（ ）じられた。 / 他被任命為新的東京分店長。,題目：将軍は兵士たちに出発を（ ）た。 答案：命じる,,,,,
1280,名人,めい.じん,めいじん,[3],名詞,名人 / 專家 / 高手,彼は魚を釣るのが上手で、釣りの（ ）と呼ばれている。 / 他很擅長釣魚，被大家稱為釣魚高手。,将棋の（ ）戦を見学する。 / 觀摩將棋的名人挑戰賽。,題目：彼は魚を釣るのが上手で、釣りの（ ）と呼ばれている。 答案：名人,,,,,
1281,命令,めい.れい,めいれい,[0],名詞/他動三,命令,上司の（ ）に従って業務を進める。 / 遵從上司的命令推動業務。,警察官は犯人に銃を捨てるよう（ ）した。 / 警察命令犯人把槍丟下。,題目：上司の（ ）に従って業務を進める。 答案：命令,,,,,
1282,迷惑,めい.わく,めいわく,[1],名詞/な形/自動三,麻煩 / 打擾 / 困擾,夜中に大声で騒いで近所に（ ）をかける。 / 半夜大聲喧嘩給鄰居造成打擾。,ご（ ）をおかけして申し訳ございません。 / 給您添了麻煩，非常抱歉。,題目：夜中に大声で騒いで近所に（ ）をかける。 答案：迷惑,,,,,
1283,めちゃくちゃ,めちゃくちゃ,めちゃくちゃ,[0],な形/名詞/程度副詞,亂七八糟 / 一塌糊塗 / 極度,部屋の中が散らかって（ ）な状態だ。 / 房間裡凌亂不堪，呈現一塌糊塗的狀態。,今日の試験は（ ）難しかった。 / 今天的考試極度（超級）困難。,題目：部屋の中が散らかって（ ）な状態だ。 答案：めちゃくちゃ,,,,,
1284,メッセージ,メッセージ,メッセージ,[1],名詞,訊息 / 留言 / 簡訊,友だちの誕生日に（ ）を送る。 / 在朋友生日時寄送祝賀訊息。,映画の監督が観客に向けて（ ）を語る。 / 電影導演朝著觀眾發表留言信息。,題目：友だちの誕生日に（ ）を送る。 答案：メッセージ,,,,,
1285,綿,わた,わた,[2],名詞,棉 / 棉花,この枕の中には柔らかい（ ）がたくさん詰まっている。 / 這個枕頭裡塞滿了柔軟的棉花。,傷口の消毒に脱脂（ ）を使用する。 / 使用脫脂棉花進行傷口的消毒。,題目：この枕の中には柔らかい（ ）がたくさん詰まっている。 答案：綿,,,,,
1286,免許,めん.きょ,めんきょ,[1],名詞/他動三,執照 / 許可 / 駕駛執照,18歳になって車の運転（ ）を取った。 / 到了18歲考取了汽車駕駛執照。,医師として働くためには国家（ ）が必要だ。 / 要作為醫師工作需要有國家執照。,題目：18歳になって車の運転（ ）を取った。 答案：免許,,,,,
1287,面倒,めん.どう,めんどう,[3],な形/名詞,麻煩 / 繁瑣 / 照顧,複雑な手続きがとても（ ）だ。 / 複雜的手續感到極為繁瑣麻煩。,子犬の（ ）を責任を持って見る。 / 負起責任來照顧小狗。,題目：複雑な手続きがとても（ ）だ。 答案：面倒,,,,,
1288,面倒,めん.どう,めんどう,[3],な形/名詞,費心 / 關照 / 棘手,旅行の荷造りをするのが（ ）になってきた。 / 整理旅行的行李變得令人覺得麻煩費心起來了。,彼らには昔からいろいろとご（ ）をかけている。 / 我從以前就在各方面給他們添了很多麻煩與關照。,題目：旅行の荷造りをするのが（ ）になってきた。 答案：面倒,,,,,
1289,メンバー,メンバー,メンバー,[1],名詞,成員 / 隊員 / 會員,新しいプロジェクトの（ ）を紹介する。 / 介紹新專案團隊的成員。,彼はバンドの中心的な（ ）だ。 / 他是樂團裡的核心成員。,題目：新しいプロジェクトの（ ）を紹介する。 答案：メンバー,,,,,
1290,申し込み,もう.し.こ.み,もうしこみ,[0],名詞,申請 / 報名,スピーチコンテストの（ ）は明日までです。 / 演講比賽的報名截止到明天為止。,インターネットで講座の（ ）を行う。 / 在網路上進行講座的報名。,題目：スピーチコンテストの（ ）は明日までです。 答案：申し込み,,,,,
1291,申し込み書,もう.し.こ.み.しょ,もうしこみしょ,[5],名詞,申請書 / 報名表,この（ ）に必要事項を記入してください。 / 請在這個報名表上填寫必要資料。,窓口で大会の（ ）を受け取る。 / 在窗口領取大會的報名表。,題目：この（ ）に必要事項を記入してください。 答案：申し込み書,,,,,
1292,申し込む,もう.し.こ.む,もうしこむ,[4],他動一,申請 / 報名 / 提議,日本語能力試験にネットで（ ）。 / 在網路上報名日語能力試驗。,友人に一緒に旅行に行こうと（ ）んだ。 / 向朋友提議一起去旅行。,題目：日本語能力試験にネットで（ ）。 答案：申し込む,,,,,
1293,申し訳ない,もう.し.わけ.ない,もうしわけない,[5],い形,非常抱歉 / 過意不去,ご迷惑をおかけして本当に（ ）。 / 給您添了麻煩，我感到非常抱歉。,忙しい友人に手伝ってもらって（ ）気持ちだ。 / 讓忙碌的朋友來幫忙，感到極為過意不去。,題目：ご迷惑をおかけして本当に（ ）。 答案：申し訳ない,,,,,
1294,毛布,もう.ふ,もうふ,[1],名詞,毛毯 / 毯子,寒い夜は暖かい（ ）をかけて寝る。 / 寒冷的夜晚蓋著溫暖的毛毯睡覺。,ベッドにシーツと（ ）をきれいに敷く。 / 在床上把床單和毯子整齊舖好。,題目：寒い夜は暖かい（ ）をかけて寝る。 答案：毛布,,,,,
1295,燃える,も.える,もえる,[0],自動二,燃燒 / 著火 / 激昂,キャンプファイヤーの火が激しく（ ）ている。 / 營火的火勢正猛烈地燃燒著。,新しいプロジェクトに向けて希望に（ ）る。 / 朝向新的專案，內心燃燒著滿滿的希望。,題目：キャンプファイヤーの火が激しく（ ）ている。 答案：燃える,,,,,
1296,目的,もく.てき,もくてき,[0],名詞,目的 / 目標,日本へ来た（ ）はアニメの勉強をすることだ。 / 來到日本的目的，是為了學習動畫。,（ ）の場所まで地図を見ながら歩く。 / 邊看著地圖邊走到目的地。,題目：日本へ来た（ ）はアニメの勉強をすることだ。 答案：目的,,,,,
1297,目標,もく.ひょう,もくひょう,[0],名詞/他動三,目標,今年の（ ）は資格試験に合格することだ。 / 今年的目標是要考過證照考試。,売上の（ ）を達成するために努力する。 / 為了達成營業額的目標而努力。,題目：今年の（ ）は資格試験に合格することだ。 答案：目標,,,,,
1298,文字,も.じ,もじ,[1],名詞,文字 / 字形,大きくて読みやすい（ ）で看板を書く。 / 用大而容易閱讀的文字寫招牌。,日本語には平仮名、片仮名、漢字という三種類の（ ）がある。 / 日文裡有平假名、片假名、漢字這三種文字。,題目：大きくて読みやすい（ ）で看板を書く。 答案：文字,,,,,
1299,もしも,もしも,もしも,[1],慣用,假如 / 如果 / 萬一,（ ）宝くじが当たったら、世界一周旅行に行きたい。 / 假如中了彩券，想去環遊世界旅行。,（ ）の時のために、防災グッズを準備しておく。 / 為了防備萬一的時候，預先準備好防災用品。,題目：（ ）宝くじが当たったら、世界一周旅行に行きたい。 答案：もしも,,,,,
1300,持ち上げる,も.ち.あ.げる,もちあげる,[0],他動二,舉起 / 抬起 / 捧高,重い荷物を両手で力を入れて（ ）。 / 用雙手使勁將沉重的行李抬起。,彼は少し褒めると、すぐに調子に乗るほど（ ）られた。 / 他被稍微誇獎捧高一下，就立刻得意忘形了。,題目：重い荷物を両手で力を入れて（ ）。 答案：持ち上げる,,,,,
1301,勿論,もち.ろん,もちろん,[2],陳述副詞/名詞,當然 / 不用說,その会には（ ）私も参加します。 / 那個聚會我當然也會參加。,彼が合格したのは（ ）の結果だ。 / 他能及格是理所當然的結果。,題目：その会には（ ）私も参加します。 答案：勿論,,,,,
1302,もったいない,もったいない,もったいない,[5],い形,浪費的 / 可惜的 / 過分的,まだ使える物を捨てるのは（ ）。 / 把還能用的東西丟掉太浪費了。,私には（ ）ほどのお褒めの言葉です。 / 這是對我而言過分誇獎（不敢當）的讚美之詞。,題目：まだ使える物を捨てるのは（ ）。 答案：もったいない,,,,,
1303,最も,もっ.とも,もっとも,[3],程度副詞,最 / 極其,彼がこのクラスで（ ）背が高い。 / 他是這個班級裡長得最高的。,健康が（ ）大切だ。 / 健康是最重要的事情。,題目：彼がこのクラスで（ ）背が高い。 答案：最も,,,,,
1304,元,もと,もと,[1],名詞,原本 / 根源 / 以前,使った物は（ ）の場所に戻してください。 / 用過的物品請放回原本的位置。,失敗は成功の（ ）だと言われている。 / 人們常說失敗是成功之母（根源）。,題目：使った物は（ ）の場所に戻してください。 答案：元,,,,,
1305,戻す,もど.す,もどす,[2],他動一,放回 / 恢復 / 歸還,借りた本を棚に（ ）。 / 把借來的書放回書架上。,白紙の状態に（ ）て一からやり直す。 / 恢復到白紙的狀態從頭重來。,題目：借りた本を棚に（ ）。 答案：戻す,,,,,
1306,求める,もと.める,もとめる,[3],他動二,尋求 / 追求 / 徵求,会社は優秀な人材を（ ）ている。 / 公司正在尋求優秀的人才。,幸福を（ ）て毎日懸命に生きる。 / 為了追求幸福而每天努力地生活。,題目：会社は優秀な人材を（ ）ている。 答案：求める,,,,,
